id,active,name,rounding,position,symbol
base_TMM,False,TMM,"0.01",after,m
base_TND,False,TND,"0.01",after,DT
base_TOP,False,TOP,"0.01",after,T$
base_TPE,False,TPE,"0.01",after,
base_TRL,False,TRL,"0.01",after,TL
base_TRY,False,TRY,"0.01",after,TL
base_TTD,False,TTD,"0.01",after,$
base_TWD,False,TWD,"0.01",after,NT$
base_TZS,False,TZS,"0.01",after,x/y
base_UAG,False,UAG,"0.01",after,₴
base_UAH,False,UAH,"0.01",after,₴
base_UGX,False,UGX,1,after,USh
base_USD,True,USD,"0.01",before,$
base_UYU,False,UYU,"0.01",after,$
base_UZS,False,UZS,"0.01",after,лв
base_VEF,False,VEF,"0.0001",after,Bs.F
base_VND,False,VND,"0.01",after,₫
base_VUB,False,VUB,"0.01",after,Bs
base_VUV,False,VUV,"0.01",after,VT
base_WST,False,WST,"0.01",after,WS$
base_XAF,False,XAF,1,after,FCFA
base_XCD,False,XCD,"0.01",after,$
base_XOF,False,XOF,1,after,CFA
base_XPF,False,XPF,1,after,XPF
base_YER,False,YER,"0.01",after,﷼
base_YUM,False,YUM,"0.01",after,дин.
base_ZAR,False,ZAR,"0.01",after,R
base_ZMK,False,ZMK,"0.01",after,ZK
base_ZRZ,False,ZRZ,"0.01",after,Ƶ
base_ZWD,False,ZWD,"0.01",after,Z$
